种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数,星系数据1,星系数据2,星系数据3,星系数据4,星系数据5,星系数据6,星系数据7,星系数据8,星系数据9,星系数据10,星系数据11
14639,32,2,0,2,初始星系Megres;卫星2;潮汐1;熔岩1;冰巨星1;猩红冰湖1;;最大重氢0.000;光度0.9710;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
45772,32,10,1,1,初始星系Sirius;卫星2;潮汐1;熔岩1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9710;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
183354,32,14,1,2,初始星系Epsilon Pavonis;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.035;光度0.9860;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
227215,32,4,1,1,初始星系Elkeid;卫星2;潮汐1;熔岩1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9850;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
229136,32,4,1,1,初始星系Delta Virginis;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.036;光度0.9680;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
360046,32,4,0,1,初始星系BatenKaitos;卫星2;潮汐1;戈壁1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9850;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
402866,32,3,0,2,初始星系Fomalhaut;卫星2;潮汐1;熔岩1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9820;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
404787,32,5,1,1,初始星系Unukalhai;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.033;光度0.9770;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
444484,32,12,0,1,初始星系52 Arietis;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.035;光度0.9860;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
445525,32,9,1,1,初始星系Tolimann;卫星2;潮汐1;黑石盐滩1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9820;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
522279,32,5,0,1,初始星系Pollux;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.031;光度0.9760;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
676637,32,7,0,1,初始星系Albaldah;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.032;光度0.9800;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
718255,32,5,1,1,初始星系Gildun;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.032;光度0.9860;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
719296,32,5,2,1,初始星系Kelb;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.038;光度0.9820;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
725778,32,3,0,1,初始星系Delta Delphini;卫星2;潮汐1;熔岩1;气态巨星1;猩红冰湖1;;最大重氢0.035;光度0.9730;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
736424,32,7,1,2,初始星系Sadalsuud;卫星2;潮汐1;熔岩1;冰巨星1;贫瘠荒漠1;;最大重氢0.000;光度0.9760;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
753391,32,4,0,1,初始星系Alrescha;卫星2;潮汐1;黑石盐滩1;气态巨星1;灰烬冻土1;;最大重氢0.036;光度0.9740;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
778042,32,3,0,1,初始星系Thuban;卫星2;潮汐1;熔岩1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9820;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
779083,32,5,1,1,初始星系Agena;卫星2;潮汐1;熔岩1;冰巨星1;灰烬冻土1;;最大重氢0.000;光度0.9770;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
796050,32,9,0,2,初始星系Cynosaura;卫星2;潮汐1;熔岩1;气态巨星1;灰烬冻土1;;最大重氢0.035;光度0.9820;初始距离0.0;戴森球包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),
